Ouput definition ID,File Identifier,Level Number,QAQC notes,File time resolution
CSAT3,CSAT3_%SITE,0,NA,10Hz
CSAT3,CSAT3_%SITE,0,NA,30min
CSAT3,CSAT3_%SITE,1,QAQC,10Hz
CSAT3,CSAT3_%SITE,1,QAQC,30min
CSAT3,CSAT3_%SITE,2,QAQC,10Hz
CSAT3,CSAT3_%SITE,2,QAQC,30min
CSAT3_ECpack,CSAT3_ECpack_%SITE,0,No_QAQC,30min
CSAT3_ECpack,CSAT3_ECpack_%SITE,1,QAQC,30min
CSAT3_ECpack,CSAT3_ECpack_%SITE,2,QAQC_IMA,30min
CSAT3_10Hz,CSAT3_%SITE,0,NO_QAQC,10Hz
CSAT3_10Hz,CSAT3_%SITE,1,QAQC,10Hz
CSAT3_10Hz,CSAT3_%SITE,2,QAQC_imas,10Hz
