Deployment ID,Room type,Building storey,Distance to wnidow
NA,NA,NA,m
64,Living room,5.0,2m
110,Cupboard hall?,5.0,7.38
123,Living Room,5.0,1.4
186,Living Room,5.0,0.68
266,Living room,5.0,2.0
292,Living room,5.0,2.0
65,Living room,5.0,
111,Cupboard hall?,5.0,7.38
125,Living Room,5.0,1.4
169,Living Room,5.0,3.64
183,Living Room,5.0,0.68
96,Living Room,5.0,0.74
130,Living Room,5.0,1.4
156,Living Room,5.0,3.64
158,Living Room,5.0,3.1
261,,5.0,
97,Living Room,5.0,0.74
180,Living Room,5.0,3.64
190,Living Room,5.0,3.1
213,,5.0,
214,,3.0,
262,,5.0,
98,Living Room,5.0,0.74
131,Living Room,5.0,1.4
159,Living Room,5.0,3.64
160,,5.0,
162,Living Room,5.0,0.68
258,,5.0,
290,Living Room,5.0,7.3
99,Living Room,5.0,0.74
132,Living Room,5.0,1.4
134,Living Room,5.0,3.64
155,Living Room,5.0,3.1
252,,3.0,
264,,5.0,
287,Study room,7.0,3.0
100,Entrance Hall?,5.0,9.1
129,Living Room,5.0,1.4
168,Living Room,5.0,3.64
182,Living Room,5.0,2.0
263,,5.0,
101,Cupboard hall?,5.0,7.38
115,Living Room,5.0,1.4
174,Living Room,5.0,3.64
254,,5.0,
102,Cupboard hall?,5.0,7.38
116,Living Room,5.0,1.4
179,Living Room,5.0,3.64
189,Living Room,5.0,9.0
212,,5.0,
260,,5.0,
103,Cupboard hall?,5.0,7.38
117,Living Room,5.0,1.4
172,Living Room,5.0,3.64
209,,3.0,
210,Cupboard,5.0,7.0
255,,5.0,
104,Cupboard hall?,5.0,7.38
118,Living Room,5.0,1.4
167,Living Room,5.0,3.64
181,Living Room,5.0,0.68
191,,5.0,
257,,5.0,
105,Cupboard hall?,5.0,7.38
119,Living Room,5.0,1.4
170,Living Room,5.0,3.64
256,,5.0,
106,Cupboard hall?,5.0,7.38
120,Living Room,5.0,1.4
173,Living Room,5.0,3.64
184,Living Room,5.0,3.1
107,Cupboard hall?,5.0,7.38
121,Living Room,5.0,1.4
163,Living Room,5.0,3.64
164,Living Room,5.0,3.64
166,Living Room,5.0,0.68
108,Cupboard hall?,5.0,7.38
109,Cupboard hall?,5.0,7.38
122,Living Room,5.0,1.4
175,Living Room,5.0,3.64
211,Hallway,5.0,9.0
253,,5.0,
112,Bedroom,5.0,3.64
128,Living Room,5.0,1.4
171,Living Room,5.0,3.64
113,Bedroom,5.0,0.85
127,Living Room,5.0,1.4
178,Living Room,5.0,3.64
188,Living Room,5.0,3.1
259,,5.0,
114,Bedroom,5.0,0.4
126,Living Room,5.0,1.4
177,Living Room,5.0,3.64
187,Living Room,5.0,3.1
124,Living Room,5.0,1.4
176,Living Room,5.0,3.64
185,Living Room,5.0,0.68
