Deployment ID,Height,Yaw,Pitch,Roll
,m asl,degrees,degrees,degrees
44,48.1,0.0,0.0,0.0
45,48.1,0.0,0.0,0.0
46,48.1,0.0,0.0,0.0
47,48.1,0.0,0.0,0.0
48,48.1,0.0,0.0,0.0
240,48.1,319.0,0.0,0.0
241,48.1,312.0,0.0,0.0
242,48.1,327.0,0.0,0.0
243,48.1,319.0,0.0,0.0
244,48.1,322.0,0.0,0.0
245,48.1,0.0,0.0,0.0
246,48.1,0.0,0.0,0.0
247,48.1,292.0,0.0,0.0
248,48.1,297.0,0.0,0.0
249,48.1,312.0,0.0,0.0
250,48.1,332.0,0.0,0.0
251,48.1,306.0,0.0,0.0
325,48.1,207.0,,
326,48.1,197.0,,
327,48.1,215.0,,
328,48.1,207.0,,
325,48.1,207.0,,
326,48.1,197.0,,
327,48.1,215.0,,
328,48.1,207.0,,
329,48.1,217.0,,
330,48.1,207.0,,
331,48.1,89.0,,
332,48.1,228.0,,
333,48.1,237.0,,
334,48.1,237.0,,
335,48.1,247.0,,
336,48.1,214.0,,
345,48.1,217.0,,
346,48.1,222.0,,
347,48.1,232.0,,
348,48.1,247.0,,
349,48.1,228.0,,
332,48.1,220.0,,
333,48.1,220.0,,
345,48.1,197.0,,
346,48.1,202.0,,
347,48.1,212.0,,
348,48.1,227.0,,
349,48.1,208.0,,
